46640
618958.33 5113041.67 3029.01
619209.52 5113041.67 3035.05
619460.70 5113041.67 3054.56
619711.89 5113041.67 3127.36
619963.07 5113041.67 3222.25
620214.26 5113041.67 3209.94
620465.44 5113041.67 3152.59
620716.63 5113041.67 3100.59
620967.81 5113041.67 3008.46
621219.00 5113041.67 2941.97
621470.18 5113041.67 2925.01
621721.37 5113041.67 2912.93
621972.55 5113041.67 2895.02
622223.74 5113041.67 2886.68
622474.92 5113041.67 2893.92
622726.11 5113041.67 2918.83
622977.29 5113041.67 2863.66
623228.48 5113041.67 2782.44
623479.66 5113041.67 2678.43
623730.85 5113041.67 2609.19
623982.03 5113041.67 2554.06
624233.21 5113041.67 2549.66
624484.40 5113041.67 2553.70
624735.58 5113041.67 2472.44
624986.77 5113041.67 2386.25
625237.95 5113041.67 2295.43
625489.14 5113041.67 2208.41
625740.32 5113041.67 2120.98
625991.51 5113041.67 2048.95
626242.69 5113041.67 1970.90
626493.88 5113041.67 1927.62
626745.06 5113041.67 1945.51
626996.25 5113041.67 2012.35
627247.43 5113041.67 1918.44
627498.62 5113041.67 1795.50
627749.80 5113041.67 1714.99
628000.99 5113041.67 1617.66
628252.17 5113041.67 1598.88
628503.36 5113041.67 1717.16
628754.54 5113041.67 1771.05
629005.73 5113041.67 1669.14
629256.91 5113041.67 1622.98
629508.10 5113041.67 1681.37
629759.28 5113041.67 1742.76
630010.47 5113041.67 1733.65
630261.65 5113041.67 1614.60
630512.84 5113041.67 1467.95
630764.02 5113041.67 1456.61
631015.21 5113041.67 1605.79
631266.39 5113041.67 1785.93
631517.58 5113041.67 1822.60
631768.76 5113041.67 1777.30
632019.94 5113041.67 1763.40
632271.13 5113041.67 1745.04
632522.31 5113041.67 1689.71
632773.50 5113041.67 1681.60
633024.68 5113041.67 1740.41
633275.87 5113041.67 1773.40
633527.05 5113041.67 1776.14
633778.24 5113041.67 1699.21
634029.42 5113041.67 1568.13
634280.61 5113041.67 1421.84
634531.79 5113041.67 1281.72
634782.98 5113041.67 1121.64
635034.16 5113041.67 954.24
635285.35 5113041.67 847.92
635536.53 5113041.67 762.87
635787.72 5113041.67 759.81
636038.90 5113041.67 760.86
636290.09 5113041.67 762.73
636541.27 5113041.67 795.48
